"ID","GROUP_TRUST_a","GROUP_TRUST_b","GROUP_TRUST_d","MISINFG"
100363,2,2,2,1
100598,2,2,4,2
100637,4,4,4,2
101437,3,2,3,2
101485,4,4,4,1
101493,4,4,2,1
103060,2,2,4,2
103379,4,3,4,1
103538,1,1,4,1
103956,1,1,4,2
104491,2,2,3,1
104689,1,2,2,2
105205,4,3,4,2
106885,4,2,2,1
106960,1,2,3,2
107023,2,3,3,1
107668,2,2,3,1
108909,3,3,4,1
110353,2,2,2,1
111927,4,4,4,2
112371,4,4,3,2
112613,2,1,4,1
112984,1,1,4,1
113274,1,1,1,2
113412,2,2,3,2
114898,3,2,3,2
115546,3,2,3,2
116182,3,2,3,1
116264,3,2,4,1
116439,2,1,3,2
116617,1,1,2,1
116832,3,3,4,2
117395,1,2,3,1
118110,3,1,4,2
118242,3,2,4,2
118414,3,3,4,2
118888,1,1,2,2
119121,1,1,4,1
119128,4,3,3,2
119392,2,2,2,2
120118,3,2,2,2
120343,2,1,4,2
121158,2,2,3,2
121582,3,3,1,2
121882,3,2,4,2
124997,1,2,4,1
125421,2,3,4,1
126190,1,1,3,1
127160,3,3,4,2
127250,2,2,2,1
127800,4,2,4,2
128214,3,2,2,2
128285,1,1,3,1
129189,3,2,4,2
131599,1,4,4,2
132146,2,2,2,1
132240,3,3,4,2
132246,2,2,4,2
132973,1,1,2,1
133114,2,2,4,1
134129,4,4,4,2
135184,3,2,3,2
135751,1,1,4,1
136411,4,4,4,2
136999,4,4,3,2
141442,3,2,3,2
141878,4,2,3,2
142398,2,2,4,2
144036,4,2,4,2
145364,2,1,3,2
145887,3,2,4,2
146170,2,2,4,2
148162,3,3,4,2
151130,3,2,4,1
151972,2,3,4,2
152324,2,2,2,2
153863,1,1,4,1
154730,2,2,4,2
154874,2,1,3,2
155606,2,2,4,1
157570,3,2,3,2
157877,2,3,3,2
159997,2,2,2,2
161130,2,2,4,1
162028,1,2,2,2
164425,1,1,3,1
165452,2,2,3,1
167094,4,2,3,2
169135,4,4,4,2
170940,4,3,4,2
171076,1,1,4,1
171264,1,2,4,1
172231,2,2,3,2
174032,4,4,4,2
175363,4,4,2,2
175884,1,2,3,1
176214,99,1,4,2
176680,2,2,2,2
176890,2,2,4,1
176940,1,2,4,1
181067,1,1,3,1
181690,2,2,4,2
182804,1,3,4,2
183145,3,2,3,2
184045,1,2,4,1
185008,1,1,2,2
185394,2,2,2,2
185416,3,3,4,2
186956,3,3,3,2
186980,2,2,3,2
187312,2,2,3,1
188245,2,2,3,2
188516,3,2,4,2
189213,1,1,3,1
191336,2,2,3,1
192213,4,2,4,2
192474,3,2,3,2
193545,3,3,3,1
194284,1,1,1,2
194634,2,1,4,2
194718,2,2,3,2
194860,2,2,3,2
195349,3,2,3,2
195373,3,2,3,2
196610,1,1,2,1
196813,1,1,3,1
197087,4,4,4,1
198176,1,2,3,1
198205,4,2,4,2
198208,4,3,4,2
198295,1,1,3,2
198321,4,3,4,2
198449,1,1,3,1
198718,3,2,3,1
198946,2,2,4,2
199474,3,2,3,2
199964,3,3,4,1
200312,3,3,4,2
201153,2,2,4,1
202145,2,2,2,2
202467,2,2,3,2
202545,3,1,4,2
202800,1,3,3,1
202849,1,1,4,2
203469,2,2,3,1
204164,2,2,3,2
204329,2,2,4,2
204354,1,2,3,2
204536,4,4,4,1
204601,2,2,2,1
204832,3,3,3,2
205459,2,2,3,1
205490,2,2,4,1
207502,2,1,2,2
208237,2,1,4,2
209589,2,2,3,2
211074,2,2,4,2
211378,1,2,3,2
